assessment_name,question_label,assessment_regex,question_regex
CES-D,Q16: Enjoyed life,CES.?D,"enjoyed life|Q.?16\y|item.?16\y"
CES-D,Q17: Had crying spells,CES.?D,"crying spell|Q.?17\y|item.?17\y"
CES-D,Q18: Felt sad,CES.?D,"felt sad|Q.?18\y|item.?18\y"
CES-D,Q19: Felt people dislike me,CES.?D,"dislike me|Q.?19\y|item.?19\y"
CES-D,Q20: Could not get going,CES.?D,"could not get|get going|Q.?20\y|item.?20\y"
DASS-21,Total Score,DASS.?21,"total|sum|overall|composite"
DASS-21,Depression Subscale,DASS.?21,"depression.*sub|depression.*scale|subscale.*depress"
DASS-21,Anxiety Subscale,DASS.?21,"anxiety.*sub|anxiety.*scale|subscale.*anxiety"
DASS-21,Stress Subscale,DASS.?21,"stress.*sub|stress.*scale|subscale.*stress"
DASS-21,S1: Hard to wind down,DASS.?21,"wind down|Q.?1\y|item.?1\y"
DASS-21,A2: Dryness of mouth,DASS.?21,"dryness.*mouth|dry mouth|Q.?2\y|item.?2\y"
DASS-21,D3: No positive feeling,DASS.?21,"positive feeling|Q.?3\y|item.?3\y"
DASS-21,A4: Breathing difficulty,DASS.?21,"breathing difficult|Q.?4\y|item.?4\y"
DASS-21,D5: Difficult to work up initiative,DASS.?21,"initiative|Q.?5\y|item.?5\y"
DASS-21,S6: Tend to over-react,DASS.?21,"over.?react|Q.?6\y|item.?6\y"
DASS-21,A7: Trembling,DASS.?21,"trembling|Q.?7\y|item.?7\y"
DASS-21,S8: Using a lot of nervous energy,DASS.?21,"nervous energy|Q.?8\y|item.?8\y"
DASS-21,A9: Worried about panic,DASS.?21,"panic|Q.?9\y|item.?9\y"
DASS-21,D10: Nothing to look forward to,DASS.?21,"nothing to look forward|Q.?10\y|item.?10\y"
DASS-21,S11: Getting agitated,DASS.?21,"agitated|Q.?11\y|item.?11\y"
DASS-21,S12: Difficult to relax,DASS.?21,"difficult to relax|Q.?12\y|item.?12\y"
DASS-21,D13: Down-hearted and blue,DASS.?21,"down.?hearted|blue|Q.?13\y|item.?13\y"
DASS-21,S14: Intolerant of anything,DASS.?21,"intolerant|Q.?14\y|item.?14\y"
DASS-21,A15: Close to panic,DASS.?21,"close to panic|Q.?15\y|item.?15\y"
DASS-21,D16: Unable to become enthusiastic,DASS.?21,"enthusiastic|Q.?16\y|item.?16\y"
DASS-21,D17: Not worth much as a person,DASS.?21,"worth much|Q.?17\y|item.?17\y"
DASS-21,S18: Rather touchy,DASS.?21,"touchy|Q.?18\y|item.?18\y"
DASS-21,A19: Action of my heart,DASS.?21,"action.*heart|heart.*action|Q.?19\y|item.?19\y"
DASS-21,A20: Scared without good reason,DASS.?21,"scared without|Q.?20\y|item.?20\y"
DASS-21,D21: Life was meaningless,DASS.?21,"meaningless|Q.?21\y|item.?21\y"
PANSS,Total Score,\yPANSS\y,"total|sum|overall|composite"
PANSS,Positive Subscale Total,\yPANSS\y,"positive.*sub|positive.*total|positive.*scale"
PANSS,Negative Subscale Total,\yPANSS\y,"negative.*sub|negative.*total|negative.*scale"
PANSS,General Subscale Total,\yPANSS\y,"general.*sub|general.*total|general.*scale"
PANSS,P1: Delusions,\yPANSS\y,"delusion|P.?1\y"
PANSS,P2: Conceptual disorganization,\yPANSS\y,"conceptual disorg|P.?2\y"
PANSS,P3: Hallucinatory behavior,\yPANSS\y,"hallucinat|P.?3\y"
PANSS,P4: Excitement,\yPANSS\y,"excitement|P.?4\y"
PANSS,P5: Grandiosity,\yPANSS\y,"grandiosity|P.?5\y"
PANSS,P6: Suspiciousness/persecution,\yPANSS\y,"suspicious|persecution|P.?6\y"
PANSS,P7: Hostility,\yPANSS\y,"hostility|P.?7\y"
PANSS,N1: Blunted affect,\yPANSS\y,"blunted affect|N.?1\y"
PANSS,N2: Emotional withdrawal,\yPANSS\y,"emotional withdrawal|N.?2\y"
PANSS,N3: Poor rapport,\yPANSS\y,"poor rapport|N.?3\y"
PANSS,N4: Passive/apathetic social withdrawal,\yPANSS\y,"passive.*social|apathetic.*social|social withdrawal|N.?4\y"
PANSS,N5: Difficulty in abstract thinking,\yPANSS\y,"abstract think|N.?5\y"
PANSS,N6: Lack of spontaneity/flow of conversation,\yPANSS\y,"spontaneity|flow of conversation|N.?6\y"
PANSS,N7: Stereotyped thinking,\yPANSS\y,"stereotyped think|N.?7\y"
PANSS,G1: Somatic concern,\yPANSS\y,"somatic concern|G.?1\y"
PANSS,G2: Anxiety,\yPANSS\y,"anxiety|G.?2\y"
PANSS,G3: Guilt feelings,\yPANSS\y,"guilt|G.?3\y"
PANSS,G4: Tension,\yPANSS\y,"tension|G.?4\y"
PANSS,G5: Mannerisms and posturing,\yPANSS\y,"mannerism|posturing|G.?5\y"
PANSS,G6: Depression,\yPANSS\y,"depression|G.?6\y"
PANSS,G7: Motor retardation,\yPANSS\y,"motor retardation|G.?7\y"
PANSS,G8: Uncooperativeness,\yPANSS\y,"uncooperati|G.?8\y"
PANSS,G9: Unusual thought content,\yPANSS\y,"unusual thought|G.?9\y"
PANSS,G10: Disorientation,\yPANSS\y,"disorientation|G.?10\y"
PANSS,G11: Poor attention,\yPANSS\y,"poor attention|G.?11\y"
PANSS,G12: Lack of judgment and insight,\yPANSS\y,"judgment.*insight|lack of judgment|G.?12\y"
PANSS,G13: Disturbance of volition,\yPANSS\y,"volition|G.?13\y"
PANSS,G14: Poor impulse control,\yPANSS\y,"impulse control|G.?14\y"
PANSS,G15: Preoccupation,\yPANSS\y,"preoccupation|G.?15\y"
PANSS,G16: Active social avoidance,\yPANSS\y,"active social avoid|G.?16\y"
BPRS,Total Score,\yBPRS\y,"total|sum|overall|composite"
BPRS,1: Somatic concern,\yBPRS\y,"somatic|Q.?1\y|item.?1\y"
BPRS,2: Anxiety,\yBPRS\y,"\yanxiety\y|Q.?2\y|item.?2\y"
BPRS,3: Emotional withdrawal,\yBPRS\y,"emotional withdrawal|Q.?3\y|item.?3\y"
BPRS,4: Conceptual disorganization,\yBPRS\y,"conceptual disorg|Q.?4\y|item.?4\y"
BPRS,5: Guilt feelings,\yBPRS\y,"guilt|Q.?5\y|item.?5\y"
BPRS,6: Tension,\yBPRS\y,"tension|Q.?6\y|item.?6\y"
BPRS,7: Mannerisms and posturing,\yBPRS\y,"mannerism|posturing|Q.?7\y|item.?7\y"
BPRS,8: Grandiosity,\yBPRS\y,"grandiosity|Q.?8\y|item.?8\y"
BPRS,9: Depressive mood,\yBPRS\y,"depress|Q.?9\y|item.?9\y"
BPRS,10: Hostility,\yBPRS\y,"hostility|Q.?10\y|item.?10\y"
BPRS,11: Suspiciousness,\yBPRS\y,"suspicious|Q.?11\y|item.?11\y"
BPRS,12: Hallucinatory behavior,\yBPRS\y,"hallucinat|Q.?12\y|item.?12\y"
BPRS,13: Motor retardation,\yBPRS\y,"motor retardation|Q.?13\y|item.?13\y"
BPRS,14: Uncooperativeness,\yBPRS\y,"uncooperati|Q.?14\y|item.?14\y"
BPRS,15: Unusual thought content,\yBPRS\y,"unusual thought|Q.?15\y|item.?15\y"
BPRS,16: Blunted affect,\yBPRS\y,"blunted affect|Q.?16\y|item.?16\y"
BPRS,17: Excitement,\yBPRS\y,"excitement|Q.?17\y|item.?17\y"
BPRS,18: Disorientation,\yBPRS\y,"disorientation|Q.?18\y|item.?18\y"
BPRS-E,Total Score,BPRS.?E,"total|sum|overall|composite"
BPRS-E,1: Somatic concern,BPRS.?E,"somatic|Q.?1\y|item.?1\y"
BPRS-E,2: Anxiety,BPRS.?E,"\yanxiety\y|Q.?2\y|item.?2\y"
BPRS-E,3: Emotional withdrawal,BPRS.?E,"emotional withdrawal|Q.?3\y|item.?3\y"
BPRS-E,4: Conceptual disorganization,BPRS.?E,"conceptual disorg|Q.?4\y|item.?4\y"
BPRS-E,5: Guilt feelings,BPRS.?E,"guilt|Q.?5\y|item.?5\y"
BPRS-E,6: Tension,BPRS.?E,"tension|Q.?6\y|item.?6\y"
BPRS-E,7: Mannerisms and posturing,BPRS.?E,"mannerism|posturing|Q.?7\y|item.?7\y"
BPRS-E,8: Grandiosity,BPRS.?E,"grandiosity|Q.?8\y|item.?8\y"
BPRS-E,9: Depressive mood,BPRS.?E,"depress|Q.?9\y|item.?9\y"
BPRS-E,10: Hostility,BPRS.?E,"hostility|Q.?10\y|item.?10\y"
BPRS-E,11: Suspiciousness,BPRS.?E,"suspicious|Q.?11\y|item.?11\y"
BPRS-E,12: Hallucinatory behavior,BPRS.?E,"hallucinat|Q.?12\y|item.?12\y"
BPRS-E,13: Motor retardation,BPRS.?E,"motor retardation|Q.?13\y|item.?13\y"
BPRS-E,14: Uncooperativeness,BPRS.?E,"uncooperati|Q.?14\y|item.?14\y"
BPRS-E,15: Unusual thought content,BPRS.?E,"unusual thought|Q.?15\y|item.?15\y"
BPRS-E,16: Blunted affect,BPRS.?E,"blunted affect|Q.?16\y|item.?16\y"
BPRS-E,17: Excitement,BPRS.?E,"excitement|Q.?17\y|item.?17\y"
BPRS-E,18: Disorientation,BPRS.?E,"disorientation|Q.?18\y|item.?18\y"
BPRS-E,19: Suicidality,BPRS.?E,"suicidal|Q.?19\y|item.?19\y"
BPRS-E,20: Self-neglect,BPRS.?E,"self.?neglect|Q.?20\y|item.?20\y"
BPRS-E,21: Bizarre behavior,BPRS.?E,"bizarre behav|Q.?21\y|item.?21\y"
BPRS-E,22: Elevated mood,BPRS.?E,"elevated mood|elation|Q.?22\y|item.?22\y"
BPRS-E,23: Motor hyperactivity,BPRS.?E,"motor hyperactiv|Q.?23\y|item.?23\y"
BPRS-E,24: Distractibility,BPRS.?E,"distractibil|Q.?24\y|item.?24\y"
BPRS-C,Total Score,BPRS.?C,"total|sum|overall|composite"
BPRS-C,1: Somatic concern,BPRS.?C,"somatic|Q.?1\y|item.?1\y"
BPRS-C,2: Anxiety,BPRS.?C,"\yanxiety\y|Q.?2\y|item.?2\y"
BPRS-C,3: Emotional withdrawal,BPRS.?C,"emotional withdrawal|Q.?3\y|item.?3\y"
BPRS-C,4: Conceptual disorganization,BPRS.?C,"conceptual disorg|Q.?4\y|item.?4\y"
BPRS-C,5: Guilt feelings,BPRS.?C,"guilt|Q.?5\y|item.?5\y"
BPRS-C,6: Tension,BPRS.?C,"tension|Q.?6\y|item.?6\y"
BPRS-C,7: Mannerisms and posturing,BPRS.?C,"mannerism|posturing|Q.?7\y|item.?7\y"
BPRS-C,8: Grandiosity,BPRS.?C,"grandiosity|Q.?8\y|item.?8\y"
BPRS-C,9: Depressive mood,BPRS.?C,"depress|Q.?9\y|item.?9\y"
BPRS-C,10: Hostility,BPRS.?C,"hostility|Q.?10\y|item.?10\y"
BPRS-C,11: Suspiciousness,BPRS.?C,"suspicious|Q.?11\y|item.?11\y"
BPRS-C,12: Hallucinatory behavior,BPRS.?C,"hallucinat|Q.?12\y|item.?12\y"
BPRS-C,13: Motor retardation,BPRS.?C,"motor retardation|Q.?13\y|item.?13\y"
BPRS-C,14: Uncooperativeness,BPRS.?C,"uncooperati|Q.?14\y|item.?14\y"
BPRS-C,15: Unusual thought content,BPRS.?C,"unusual thought|Q.?15\y|item.?15\y"
BPRS-C,16: Blunted affect,BPRS.?C,"blunted affect|Q.?16\y|item.?16\y"
BPRS-C,17: Excitement,BPRS.?C,"excitement|Q.?17\y|item.?17\y"
BPRS-C,18: Disorientation,BPRS.?C,"disorientation|Q.?18\y|item.?18\y"
BPRS-C,19: Suicidality,BPRS.?C,"suicidal|Q.?19\y|item.?19\y"
BPRS-C,20: Self-mutilation,BPRS.?C,"self.?mutilat|Q.?20\y|item.?20\y"
BPRS-C,21: Distractibility,BPRS.?C,"distractibil|Q.?21\y|item.?21\y"
AIMS,Total Score,"\yAIMS\y|abnormal involuntary movement","total|sum|overall|composite"
AIMS,1: Muscles of facial expression,"\yAIMS\y|abnormal involuntary movement","facial express|Q.?1\y|item.?1\y"
AIMS,2: Lips and perioral area,"\yAIMS\y|abnormal involuntary movement","lips|perioral|Q.?2\y|item.?2\y"
AIMS,3: Jaw,"\yAIMS\y|abnormal involuntary movement","jaw|Q.?3\y|item.?3\y"
AIMS,4: Tongue,"\yAIMS\y|abnormal involuntary movement","tongue|Q.?4\y|item.?4\y"
AIMS,5: Upper extremities,"\yAIMS\y|abnormal involuntary movement","upper extrem|arms|wrists|hands|fingers|Q.?5\y|item.?5\y"
AIMS,6: Lower extremities,"\yAIMS\y|abnormal involuntary movement","lower extrem|legs|knees|ankles|toes|Q.?6\y|item.?6\y"
AIMS,7: Trunk movements,"\yAIMS\y|abnormal involuntary movement","trunk|Q.?7\y|item.?7\y"
AIMS,8: Severity of abnormal movements,"\yAIMS\y|abnormal involuntary movement","severity|Q.?8\y|item.?8\y"
AIMS,9: Incapacitation,"\yAIMS\y|abnormal involuntary movement","incapacitat|Q.?9\y|item.?9\y"
AIMS,10: Patient awareness of movements,"\yAIMS\y|abnormal involuntary movement","awareness|Q.?10\y|item.?10\y"
AIMS,11: Teeth/dentures problems,"\yAIMS\y|abnormal involuntary movement","teeth|denture|Q.?11\y|item.?11\y"
AIMS,12: Movements usually worse,"\yAIMS\y|abnormal involuntary movement","usually worse|Q.?12\y|item.?12\y"
MMSE,Total Score,"\yMMSE\y|mini.?mental.?stat","total|sum|overall|composite"
MMSE,Orientation to Time,"\yMMSE\y|mini.?mental.?stat","orientation.*time|what year|what season|what date|what day|what month"
MMSE,Orientation to Place,"\yMMSE\y|mini.?mental.?stat","orientation.*place|what state|what county|what town|what hospital|what floor"
MMSE,Registration,"\yMMSE\y|mini.?mental.?stat","registration|name.*three.*object"
MMSE,Attention and Calculation,"\yMMSE\y|mini.?mental.?stat","attention|calculation|serial 7|spell.*world"
MMSE,Recall,"\yMMSE\y|mini.?mental.?stat","recall|three.*object"
MMSE,Naming,"\yMMSE\y|mini.?mental.?stat","naming|pencil|watch"
MMSE,Repetition,"\yMMSE\y|mini.?mental.?stat","repetition|no ifs.*ands.*buts"
MMSE,Comprehension,"\yMMSE\y|mini.?mental.?stat","comprehension|three.?stage|take.*paper"
MMSE,Reading,"\yMMSE\y|mini.?mental.?stat","reading|close your eyes"
MMSE,Writing,"\yMMSE\y|mini.?mental.?stat","writing|write.*sentence"
MMSE,Drawing/Copying,"\yMMSE\y|mini.?mental.?stat","drawing|copy|pentagon|intersect"
MOCA,Total Score,"\yMOCA\y|montreal.*cognitive","total|sum|overall|composite"
MOCA,Visuospatial/Executive,"\yMOCA\y|montreal.*cognitive","visuospatial|executive|trail.*making|cube.*copy|clock.*draw"
MOCA,Naming,"\yMOCA\y|montreal.*cognitive","naming|lion|rhinoceros|camel"
MOCA,Attention,"\yMOCA\y|montreal.*cognitive","attention|digit.*span|letter.*tap|serial.*7"
MOCA,Language,"\yMOCA\y|montreal.*cognitive","language|sentence.*repet|verbal.*fluency"
MOCA,Abstraction,"\yMOCA\y|montreal.*cognitive",abstraction
MOCA,Delayed Recall,"\yMOCA\y|montreal.*cognitive","delayed.*recall|memory"
MOCA,Orientation,"\yMOCA\y|montreal.*cognitive","orientation|date|place|city"
MiniCog,Total Score,mini.?cog,"total|sum|overall|composite"
MiniCog,Word Registration,mini.?cog,"registration|word.*reg"
MiniCog,Clock Drawing,mini.?cog,"clock|CDT"
MiniCog,Word Recall,mini.?cog,"recall|word.*rec"
ESS,Total Score,epworth.*sleepiness,"total|sum|overall|composite"
ESS,Q1: Sitting and reading,epworth.*sleepiness,"sitting.*reading|Q.?1\y|item.?1\y"
ESS,Q2: Watching TV,epworth.*sleepiness,"watching.*TV|television|Q.?2\y|item.?2\y"
ESS,Q3: Sitting inactive in public place,epworth.*sleepiness,"inactive.*public|public place|Q.?3\y|item.?3\y"
ESS,Q4: Passenger in car for an hour,epworth.*sleepiness,"passenger.*car|Q.?4\y|item.?4\y"
ESS,Q5: Lying down to rest in afternoon,epworth.*sleepiness,"lying down|afternoon|Q.?5\y|item.?5\y"
ESS,Q6: Sitting and talking to someone,epworth.*sleepiness,"sitting.*talking|Q.?6\y|item.?6\y"
ESS,Q7: Sitting quietly after lunch,epworth.*sleepiness,"after.*lunch|quietly.*lunch|Q.?7\y|item.?7\y"
ESS,Q8: In car stopped in traffic,epworth.*sleepiness,"car.*traffic|stopped.*traffic|Q.?8\y|item.?8\y"
QIDS,Total Score,\yQIDS\y,"total|sum|overall|composite"
QIDS,Q1: Sleep onset insomnia,\yQIDS\y,"sleep onset|falling asleep|Q.?1\y|item.?1\y"
QIDS,Q2: Mid-nocturnal insomnia,\yQIDS\y,"mid.?nocturnal|during the night|waking.*night|Q.?2\y|item.?2\y"
